time,Q,LH,Chapman,CM,Boughton,Furey,Eckhardt,EWMA,Willems,UKIH,Fixed,Local,Slide
2001-03-18,0.456,0.4319375,0.42221320603089535,0.42256421363659463,0.4226126435009552,0.42185475050842686,0.422613046042692,0.431355,0.42223064092135265,0.456,0.431,0.456,0.431
2001-03-19,0.6,0.43914218749999995,0.4155695413016959,0.41747098446399816,0.4177817176220495,0.41364255844220543,0.4177842998257741,0.433749759,0.41569883239892536,0.4911111111111111,0.431,0.6,0.431
2001-03-20,0.76,0.4572065234374999,0.41239623669114506,0.4159138553025954,0.4167096338962438,0.4088989542805438,0.41671624413342656,0.43838251242220005,0.4127945118884571,0.5211666666666667,0.431,0.76,0.456
2001-03-21,1.543,0.5092785341796874,0.4192557629146709,0.4306904501324195,0.4330631730296693,0.4078215571559843,0.43308288151003427,0.45406808074580485,0.4203961663588345,0.5512222222222222,0.431,1.2307142857142856,0.6
2001-03-22,0.98,0.5656951441162108,0.42813679654392667,0.4331550939353391,0.43621799720093746,0.4237368471573207,0.43624341531876343,0.4615363139992144,0.4300928184051547,0.5812777777777778,0.98,0.98,0.76
2001-03-23,1.886,0.6307430083074949,0.44024570004232344,0.4543420038172702,0.45934705066563747,0.4267849432965397,0.4593885776818269,0.4817636983404256,0.4431484327240563,0.6113333333333333,0.98,1.6305714285714286,0.98
2001-03-24,13.249,1.1509997826844325,0.5806456207999989,0.7107466081732078,0.7336976770133157,0.44931099592955065,0.7338883136141926,0.6630584538239916,0.5907067875358862,0.6413888888888888,0.98,1.8305,0.98
2001-03-25,12.186,1.893995971949935,0.8232788954093743,0.9344093656469278,0.9726721262266838,0.7168015184047761,0.9729897698211338,0.826684223779691,0.8453080879960722,0.6714444444444444,0.98,2.0304285714285712,1.886
2001-03-26,5.868,1.8625924135725325,0.9782380951536019,1.0175035499113068,1.0611488327174048,0.949820373375684,1.061510786626865,0.8982709078020193,1.007706699754084,0.7015,0.98,2.2303571428571427,3.879
2001-03-27,4.448,1.7993853631155035,1.0454570440256536,1.0676402311977862,1.1143074793335355,1.0361108491013191,1.1146940787418342,0.9486770609112307,1.07793748423322,0.7315555555555555,3.23,2.430285714285714,3.58
2001-03-28,3.879,1.7187781222990417,1.0889728992026237,1.1038708851311043,1.1525536810547274,1.0879696353125814,1.1529565459123765,0.9902876466462912,1.123252139977829,0.761611111111111,3.23,2.6302142857142856,3.371
2001-03-29,3.58,1.6246239241181823,1.121549212467407,1.1323833907012841,1.1825207955033525,1.1252907690710636,1.182935260859926,1.0270615620639139,1.1570627245311458,0.7916666666666665,3.23,2.830142857142857,3.23
2001-03-30,3.371,1.5184421011515552,1.1474246216126827,1.1553684820810632,1.2065620118395786,1.1545409827121678,1.2069847696803275,1.0603454878826062,1.1838270242875395,0.8217222222222221,3.23,3.0300714285714285,3.23
2001-03-31,3.23,1.400891345016255,1.1685391879320444,1.1744687445985604,1.22644114897518,1.178014084289463,1.2268699034198143,1.091154581954673,1.2055873994798754,0.8517777777777777,3.23,3.23,3.23
2001-04-01,3.419,1.2717159416547024,1.1892710167777336,1.1967022882848224,1.2496616712782096,1.1974294181873752,1.2500981634956654,1.1242099868909168,1.226940441400717,0.8818333333333332,0.972,2.6654999999999998,2.252
2001-04-02,3.501,1.129645398749158,1.211977225469239,1.2197156832827143,1.273705099024789,1.2201031137804592,1.2741496954017097,1.1579604050770658,1.250358577685329,0.9118888888888887,0.972,2.101,0.972
2001-04-03,2.252,1.0066608583313599,1.221478837180682,1.2158212720360468,1.2689930212265415,1.243579705729051,1.2694303716246582,1.1734957673249715,1.2599226791660076,0.9419444444444443,0.972,1.5365,0.972
2001-04-04,0.972,0.9575793063041729,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972,0.972
2001-04-05,0.978,0.9564009392477544,0.9516549501647253,0.9519286462387941,0.9519664091348906,0.9513754466222527,0.9519667230143942,0.9720852,0.9516685449159287,0.9582857142857143,0.972,0.978,0.972
2001-04-06,1.213,0.9547430846597345,0.9346942353250649,0.937574152330071,0.9380092324602799,0.9317647555025049,0.9380128483414135,0.9755061901600001,0.9348644534500945,0.9445714285714285,1.124,1.0054,0.972
2001-04-07,1.124,0.952007316397348,0.9199784346394649,0.9219669438932555,0.9226759735764557,0.9180807291678487,0.9226818614417812,0.9776148022597281,0.920390226823703,0.9308571428571428,1.124,1.0221,0.978
2001-04-08,1.371,0.9477148358698104,0.9075392555571836,0.9121404186681774,0.9134836322967832,0.9030569923868165,0.9134947833895715,0.98320087206764,0.908277778504781,0.9171428571428571,1.124,1.0388,1.124
2001-04-09,2.207,0.9399528847495893,0.9069917131338074,0.9200924804746109,0.9232420248209974,0.8940230322082127,0.923268174814243,1.0005788196842795,0.9086084751903067,0.9034285714285715,1.124,1.0554999999999999,1.124
2001-04-10,1.421,0.9269517957663588,0.906992061114624,0.9113827396437734,0.9151351824937191,0.9034698728238302,0.9151663082701513,1.0065488004447627,0.9094753797444194,0.8897142857142857,1.124,1.0722,1.371
2001-04-11,2.046,0.9088012582438697,0.9053022226443429,0.9160210616281761,0.9212490713526194,0.8955003683690426,0.9212924209070432,1.021309007478447,0.9085326254919559,0.876,1.139,1.0889,1.421
2001-04-12,5.141,0.8799802553998907,0.9427357612528994,0.9847739230412724,0.99579748264643,0.9013993567823189,0.9958889476161664,1.079808619572253,0.9485822969404272,0.8622857142857143,1.139,1.1056,1.139
2001-04-13,1.586,0.8353574432982083,0.973768334041934,0.9768046430173892,0.9882371938860927,0.9740307436270498,0.988331936996306,1.0869965371743269,0.9818458003540282,0.8485714285714285,1.139,1.1223,1.139
2001-04-14,1.139,0.7958737231456268,0.9614849489360213,0.959878855070011,0.9710798951276227,0.9666079816743475,0.9711725930749199,1.0877349863464514,0.9696225966257418,0.8348571428571429,1.139,1.139,1.139
2001-04-15,1.191,0.7679736196168938,0.9455706709733332,0.9447368739039379,0.9558135965164153,0.9498289288329205,0.9559051481619466,1.0892013495403317,0.9535766322787664,0.8211428571428572,1.139,1.1012307692307692,1.085
2001-04-16,1.229,0.7375223421533987,0.9312694794905977,0.9310136831769801,0.9420463451597565,0.9348944937512537,0.9421374238861941,1.0911864903768589,0.9392114516215925,0.8074285714285714,0.851,1.0634615384615385,0.953
2001-04-17,1.085,0.7068702854361067,0.9164560375079349,0.914868764799932,0.9256740673594429,0.921422610230295,0.9257631547105399,1.085,0.9242970972337597,0.7937142857142857,0.851,1.0256923076923077,0.851
2001-04-18,0.953,0.681562470741737,0.8993672018756029,0.8966520887002171,0.907074986752093,0.9054115557145274,0.9071608010259445,0.953,0.906985727693482,0.78,0.851,0.953,0.851
2001-04-19,0.851,0.6636891575586347,0.851,0.851,0.851,0.851,0.851,0.851,0.851,0.7662857142857143,0.851,0.851,0.841
2001-04-20,0.867,0.6484774676309565,0.8333004365210149,0.8336505378979224,0.8336988427264241,0.8329429064563137,0.8336992442288818,0.8512272,0.8333178263982034,0.7525714285714287,0.851,0.867,0.823
2001-04-21,0.841,0.6324378028442773,0.8162391307849697,0.8164818202938195,0.8165635639374139,0.816006059908713,0.8165642428162453,0.841,0.8162859400074018,0.7388571428571429,0.684,0.841,0.804
2001-04-22,0.823,0.6162570841559755,0.7994323504715596,0.7996525586334171,0.7997646093516835,0.7992324365439095,0.7997655392114198,0.823,0.7995020856028199,0.7251428571428572,0.684,0.823,0.706
2001-04-23,0.804,0.6002644153037573,0.7829428933203177,0.7831278688231066,0.7832653397653405,0.782788184733267,0.7832664796744131,0.804,0.7830326572545154,0.7114285714285715,0.684,0.799076923076923,0.684
2001-04-24,0.706,0.5877182868148728,0.706,0.706,0.706,0.706,0.706,0.706,0.706,0.6977142857142857,0.684,0.706,0.657
2001-04-25,0.684,0.5790197695295922,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.684,0.648
2001-04-26,0.657,0.5716024535455052,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.657,0.648,0.657,0.648
2001-04-27,0.648,0.5650431930221678,0.6431111966294798,0.6431619859161872,0.6431689935086903,0.6430593296613375,0.6431690517547435,0.648,0.643113719382935,0.648,0.648,0.648,0.648
2001-04-28,0.648,0.5583169654293706,0.6297111281084873,0.6298990187806742,0.6299319436979284,0.6295213930685858,0.6299322172833483,0.648,0.6297255026790194,0.6341538461538462,0.648,0.648,0.648
2001-04-29,0.705,0.5509587126263465,0.6174721370323004,0.6183715367124376,0.6185285241853952,0.6165637158067818,0.6185298285805141,0.6488094,0.6175404977330526,0.6203076923076923,0.648,0.6365172413793103,0.648
2001-04-30,0.766,0.5426576411838883,0.6069858432801984,0.6085905317876468,0.6089687764147707,0.6053950808003116,0.6089719180593034,0.65047350652,0.607178486602521,0.6064615384615385,0.648,0.6250344827586207,0.648
2001-05-01,2.468,0.5305036432351157,0.6154477949024434,0.6345797961398164,0.6375974039917426,0.5960253788093098,0.637622479322384,0.676282382727416,0.6166701762420079,0.5926153846153847,0.726,0.613551724137931,0.705
2001-05-02,1.012,0.5113685863600701,0.6261369121333801,0.629236585839887,0.6326790173632946,0.6238937492483241,0.63270758893712,0.6810495728926867,0.6284618105807276,0.5787692307692308,0.726,0.6020689655172414,0.766
2001-05-03,0.839,0.4872386425101872,0.619275993929489,0.620520856624442,0.624131911687545,0.6190553526569121,0.6241618465609052,0.6832924689576105,0.621813415712795,0.564923076923077,0.726,0.5905862068965517,0.726
2001-05-04,0.848,0.4606929201350284,0.6109815126286476,0.6123543149375592,0.6161516169706294,0.6106800904727663,0.616183061308982,0.6856313158984124,0.6136455109704735,0.5510769230769231,0.726,0.5791034482758621,0.598
2001-05-05,0.726,0.43554259767134584,0.6018490622412777,0.6019922473040293,0.6058060968509241,0.6028585939314045,0.605837639628721,0.686204551212655,0.6045848758045637,0.5372307692307693,0.726,0.5676206896551724,0.556
2001-05-06,0.598,0.41718118667172527,0.5904756098797994,0.5894012233236111,0.5930637463307525,0.5927318881523409,0.5930939936912202,0.598,0.5931617253500081,0.5233846153846154,0.468,0.5561379310344827,0.517
2001-05-07,0.556,0.4042229045099733,0.556,0.556,0.556,0.556,0.556,0.556,0.556,0.5095384615384616,0.468,0.5446551724137931,0.489
2001-05-08,0.517,0.3934977346053765,0.517,0.517,0.517,0.517,0.517,0.517,0.517,0.49569230769230777,0.468,0.517,0.468
2001-05-09,0.489,0.38461917254635297,0.489,0.489,0.489,0.489,0.489,0.489,0.489,0.48184615384615387,0.468,0.489,0.451
2001-05-10,0.468,0.3770072135636249,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.468,0.447
2001-05-11,0.451,0.3703186092579729,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.451,0.425,0.451,0.439
2001-05-12,0.447,0.36393903703564634,0.4414888466714351,0.4415461014892871,0.44155400115589694,0.4414303769821358,0.44155406681673576,0.447,0.4414916905741346,0.447,0.425,0.447,0.433
2001-05-13,0.439,0.35752868868718524,0.43225110869675004,0.4323188429917961,0.4323360806981259,0.43218435232611024,0.4323362238834327,0.439,0.43226015681662616,0.439,0.425,0.439,0.425
2001-05-14,0.433,0.35116614993209216,0.423254308936795,0.4233503619441305,0.42338083635737667,0.42316148384819063,0.4233810893675871,0.433,0.4232714796135309,0.43160000000000004,0.425,0.433,0.413
2001-05-15,0.425,0.3448552972238834,0.41448832995093865,0.4145883490968035,0.41463259551473947,0.4143954927890627,0.41463296265360616,0.425,0.4145152155910588,0.4225,0.425,0.425,0.401
2001-05-16,0.413,0.33884356456636044,0.40588049137818,0.4059411133446145,0.4059936840530444,0.405832082839465,0.4059941198944505,0.413,0.4059153190361136,0.413,0.377,0.413,0.388
2001-05-17,0.401,0.3333173670987681,0.39738216076357435,0.3974038850567558,0.39745940694765747,0.3973759988239932,0.3974598667552362,0.401,0.3974210315135246,0.401,0.377,0.401,0.381
2001-05-18,0.388,0.3283566130797493,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.388,0.377,0.388,0.377
2001-05-19,0.381,0.32380444657270196,0.37978009596438594,0.3797927694247657,0.3797945180306569,0.3797671535899527,0.3797945325648056,0.381,0.3797807254675359,0.381,0.377,0.381,0.361
